id,node_id,temperature,humidity,pressure,altitude,soil_moisture,created_at
2,node_1,32.5,69.57433,1004.532,74.73764,39,2025-11-06 07:43:02.000+00
3,node_2,32.25,70.88734,1004.532,52.3023,46,2025-11-06 07:43:07.000+00
4,node_1,32.18,68.92911,1001.55,66.96151,38,2025-11-06 07:48:07.000+00
5,node_2,32.17,65.69625,1003.875,50.94274,42,2025-11-06 07:48:12.000+00
6,node_1,33.0,68.62913,1003.911,66.54702,38,2025-11-06 07:53:12.000+00
7,node_2,32.33,66.39072,1005.222,51.12709,44,2025-11-06 07:53:17.000+00
8,node_1,32.23,68.4676,1006.645,70.62659,37,2025-11-06 07:58:17.000+00
9,node_2,33.22,66.90127,1002.558,44.12099,45,2025-11-06 07:58:22.000+00
10,node_1,32.83,68.27271,1002.043,68.61808,40,2025-11-06 08:03:22.000+00
11,node_2,32.6,67.99453,1003.56,53.17137,41,2025-11-06 08:03:27.000+00
12,node_1,32.72,67.38751,1007.062,67.48235,40,2025-11-06 08:08:27.000+00
13,node_2,32.43,69.3204,1006.863,49.07236,46,2025-11-06 08:08:32.000+00
14,node_1,32.45,66.69848,1006.625,69.78397,40,2025-11-06 08:13:32.000+00
15,node_2,32.57,66.56367,1007.712,53.0106,43,2025-11-06 08:13:37.000+00
16,node_1,32.84,68.25774,999.761,70.26114,40,2025-11-06 08:18:37.000+00
17,node_2,33.31,70.65845,1006.644,49.10298,41,2025-11-06 08:18:42.000+00
18,node_1,32.66,70.48025,1003.383,72.74621,38,2025-11-06 08:23:42.000+00
19,node_2,32.89,67.48601,1003.996,50.98625,46,2025-11-06 08:23:47.000+00
20,node_1,32.84,67.16072,1004.216,70.88836,39,2025-11-06 08:28:47.000+00
21,node_2,33.19,67.7223,1002.073,50.78317,44,2025-11-06 08:28:52.000+00
22,node_1,32.28,67.64859,1004.677,75.65856,40,2025-11-06 08:33:52.000+00
23,node_2,32.68,66.95925,1005.808,50.52373,44,2025-11-06 08:33:57.000+00
24,node_1,32.13,68.20038,1004.615,69.89586,42,2025-11-06 08:38:57.000+00
25,node_2,32.89,71.8049,1005.603,46.49397,46,2025-11-06 08:39:02.000+00
26,node_1,33.28,70.1487,1006.174,67.02839,40,2025-11-06 08:44:02.000+00
27,node_2,32.6,65.94174,1009.381,48.30111,43,2025-11-06 08:44:07.000+00
28,node_1,32.39,66.39523,1003.161,67.65024,41,2025-11-06 08:49:07.000+00
